Longitude,Latitude,D__m_,State
-112.178,41.575,0.42307,Idaho
-112.132,41.575,0.57012,Idaho
-112.086,41.575,0.81166,Idaho
-112.04,41.575,1.43807,Idaho
-111.994,41.575,1.05706,Idaho
-111.949,41.575,0.73762,Idaho
-112.132,41.61,0.57022,Idaho
-112.086,41.61,0.85109,Idaho
-112.04,41.61,1.14748,Idaho
-111.994,41.61,0.87357,Idaho
-111.949,41.61,0.64895,Idaho
-112.086,41.645,0.70042,Idaho
-112.04,41.645,0.85935,Idaho
-111.994,41.645,0.7638,Idaho
-112.274,41.57,0.27836,Idaho
-112.194,41.57,0.38786,Idaho
-112.114,41.57,0.64327,Idaho
-112.034,41.57,1.51099,Idaho
-111.953,41.57,0.775,Idaho
-111.873,41.57,0.49008,Idaho
-112.274,41.632,0.25372,Idaho
-112.194,41.632,0.36172,Idaho
-112.114,41.632,0.6109,Idaho
-112.034,41.632,0.9285,Idaho
-111.953,41.632,0.59843,Idaho
-112.194,41.694,0.30115,Idaho
-112.114,41.694,0.44158,Idaho
-112.034,41.694,0.62292,Idaho
-111.953,41.694,0.46209,Idaho
-112.114,41.755,0.32353,Idaho
-112.034,41.755,0.36672,Idaho
-112.114,41.817,0.28922,Idaho
-112.034,41.817,0.30359,Idaho
-111.953,41.817,0.25993,Idaho
-111.873,41.817,0.21744,Idaho
-111.071,41.817,0.44921,Idaho
-112.114,41.879,0.31401,Idaho
-112.034,41.879,0.33224,Idaho
-111.953,41.879,0.25345,Idaho
-111.873,41.879,0.19896,Idaho
-111.311,41.879,0.24861,Idaho
-111.151,41.879,0.37093,Idaho
-111.071,41.879,0.47638,Idaho
-112.194,41.941,0.22108,Idaho
-112.114,41.941,0.30905,Idaho
-112.034,41.941,0.32608,Idaho
-111.953,41.941,0.24674,Idaho
-111.873,41.941,0.19178,Idaho
-111.392,41.941,0.22749,Idaho
-111.311,41.941,0.27217,Idaho
-111.231,41.941,0.33398,Idaho
-111.151,41.941,0.38923,Idaho
-111.071,41.941,0.73132,Idaho
-112.194,42.002,0.20689,Idaho
-112.114,42.002,0.28033,Idaho
-112.034,42.002,0.30538,Idaho
-111.953,42.002,0.2358,Idaho
-111.873,42.002,0.18524,Idaho
-111.392,42.002,0.24346,Idaho
-111.311,42.002,0.3193,Idaho
-111.231,42.002,0.35326,Idaho
-111.151,42.002,0.40012,Idaho
-111.071,42.002,0.71666,Idaho
-112.114,42.064,0.24756,Idaho
-112.034,42.064,0.28333,Idaho
-111.953,42.064,0.22793,Idaho
-111.392,42.064,0.25512,Idaho
-111.311,42.064,0.31177,Idaho
-111.071,42.064,0.6981,Idaho
-113.082,41.618,0.06396,Idaho
-112.968,41.618,0.09014,Idaho
-112.853,41.618,0.1347,Idaho
-112.738,41.618,0.18669,Idaho
-112.623,41.618,0.18577,Idaho
-112.509,41.618,0.17527,Idaho
-112.394,41.618,0.19752,Idaho
-112.279,41.618,0.25483,Idaho
-112.165,41.618,0.43899,Idaho
-112.05,41.618,1.04085,Idaho
-111.935,41.618,0.56944,Idaho
-111.821,41.618,0.32781,Idaho
-111.706,41.618,0.2212,Idaho
-111.591,41.618,0.16419,Idaho
-111.477,41.618,0.13843,Idaho
-111.362,41.618,0.13828,Idaho
-111.247,41.618,0.15058,Idaho
-111.133,41.618,0.1804,Idaho
-111.018,41.618,0.21764,Idaho
-112.968,41.706,0.08386,Idaho
-112.853,41.706,0.12304,Idaho
-112.738,41.706,0.16555,Idaho
-112.623,41.706,0.16779,Idaho
-112.509,41.706,0.16449,Idaho
-112.394,41.706,0.1736,Idaho
-112.279,41.706,0.2145,Idaho
-112.165,41.706,0.32506,Idaho
-112.05,41.706,0.54388,Idaho
-111.935,41.706,0.39773,Idaho
-111.821,41.706,0.26208,Idaho
-111.706,41.706,0.19324,Idaho
-111.591,41.706,0.15355,Idaho
-111.477,41.706,0.14361,Idaho
-111.362,41.706,0.16984,Idaho
-111.247,41.706,0.22135,Idaho
-111.133,41.706,0.27131,Idaho
-111.018,41.706,0.38245,Idaho
-112.968,41.794,0.07169,Idaho
-112.853,41.794,0.09994,Idaho
-112.738,41.794,0.12713,Idaho
-112.623,41.794,0.13987,Idaho
-112.509,41.794,0.14531,Idaho
-112.394,41.794,0.15533,Idaho
-112.279,41.794,0.18133,Idaho
-112.165,41.794,0.25497,Idaho
-112.05,41.794,0.31134,Idaho
-111.935,41.794,0.26448,Idaho
-111.821,41.794,0.20869,Idaho
-111.706,41.794,0.17233,Idaho
-111.591,41.794,0.15168,Idaho
-111.477,41.794,0.1593,Idaho
-111.362,41.794,0.19347,Idaho
-111.247,41.794,0.25713,Idaho
-111.133,41.794,0.35467,Idaho
-111.018,41.794,0.5524,Idaho
-112.968,41.882,0.06048,Idaho
-112.853,41.882,0.08224,Idaho
-112.738,41.882,0.10365,Idaho
-112.623,41.882,0.1138,Idaho
-112.509,41.882,0.12149,Idaho
-112.394,41.882,0.13606,Idaho
-112.279,41.882,0.16439,Idaho
-112.165,41.882,0.25409,Idaho
-112.05,41.882,0.34046,Idaho
-111.935,41.882,0.24113,Idaho
-111.821,41.882,0.17964,Idaho
-111.706,41.882,0.1562,Idaho
-111.591,41.882,0.15363,Idaho
-111.477,41.882,0.17695,Idaho
-111.362,41.882,0.22194,Idaho
-111.247,41.882,0.2963,Idaho
-111.133,41.882,0.52591,Idaho
-111.018,41.882,0.59536,Idaho
-112.968,41.971,0.05128,Idaho
-112.853,41.971,0.06532,Idaho
-112.738,41.971,0.08015,Idaho
-112.623,41.971,0.08973,Idaho
-112.509,41.971,0.09989,Idaho
-112.394,41.971,0.11542,Idaho
-112.279,41.971,0.15024,Idaho
-112.165,41.971,0.25376,Idaho
-112.05,41.971,0.31296,Idaho
-111.935,41.971,0.2209,Idaho
-111.821,41.971,0.16433,Idaho
-111.706,41.971,0.14937,Idaho
-111.591,41.971,0.17053,Idaho
-111.477,41.971,0.19494,Idaho
-111.362,41.971,0.25295,Idaho
-111.247,41.971,0.38463,Idaho
-111.133,41.971,0.41336,Idaho
-111.018,41.971,0.60308,Idaho
-112.853,42.059,0.05236,Idaho
-112.738,42.059,0.06163,Idaho
-112.623,42.059,0.07041,Idaho
-112.509,42.059,0.07968,Idaho
-112.394,42.059,0.09272,Idaho
-112.279,42.059,0.12017,Idaho
-112.165,42.059,0.20066,Idaho
-112.05,42.059,0.28248,Idaho
-111.935,42.059,0.21636,Idaho
-111.821,42.059,0.16568,Idaho
